Date,Volume,Low,Close,Open,Market Cap,High
"Oct 24, 2016","2,999,400",3.87,3.87,3.92,"188,620,000",3.92
"Oct 23, 2016","3,927,550",3.89,3.92,3.89,"187,295,000",3.94
"Oct 22, 2016","3,858,130",3.80,3.89,3.81,"183,201,000",3.91
"Oct 21, 2016","2,881,980",3.76,3.81,3.79,"182,216,000",3.83
"Oct 20, 2016","2,417,550",3.77,3.78,3.81,"183,013,000",3.82
"Oct 19, 2016","2,243,800",3.78,3.80,3.85,"184,789,000",3.86
"Oct 18, 2016","1,790,400",3.83,3.84,3.95,"189,918,000",4.23
"Oct 17, 2016","1,716,740",3.86,3.91,3.89,"186,886,000",3.92
"Oct 16, 2016","2,160,150",3.88,3.89,3.88,"186,368,000",3.91
"Oct 15, 2016","1,664,980",3.87,3.87,3.90,"187,173,000",3.91
"Oct 14, 2016","2,142,390",3.89,3.90,3.91,"187,679,000",3.92
"Oct 13, 2016","3,798,640",3.75,3.91,3.75,"179,685,000",3.92
"Oct 12, 2016","3,154,520",3.76,3.76,3.82,"183,178,000",3.83
"Oct 11, 2016","2,025,380",3.79,3.82,3.80,"182,337,000",3.84
"Oct 10, 2016","1,420,790",3.78,3.80,3.82,"183,200,000",3.83
"Oct 09, 2016","1,239,070",3.81,3.82,3.84,"184,174,000",3.85
"Oct 08, 2016","1,544,210",3.84,3.84,3.86,"185,048,000",3.87
"Oct 07, 2016","1,596,220",3.83,3.86,3.84,"183,775,000",3.86
"Oct 06, 2016","1,415,940",3.83,3.85,3.85,"184,097,000",3.86
"Oct 05, 2016","1,394,850",3.83,3.84,3.83,"183,364,000",3.85
"Oct 04, 2016","1,116,870",3.82,3.82,3.84,"183,632,000",3.84
"Oct 03, 2016","1,207,110",3.83,3.84,3.85,"184,113,000",3.85
"Oct 02, 2016","1,373,630",3.82,3.84,3.85,"183,871,000",3.88
"Oct 01, 2016","1,426,340",3.84,3.85,3.85,"183,883,000",3.86
"Sep 30, 2016","2,104,930",3.82,3.84,3.84,"183,655,000",3.85
"Sep 29, 2016","1,674,200",3.83,3.85,3.84,"183,299,000",3.86
"Sep 28, 2016","1,905,040",3.83,3.84,3.85,"183,854,000",3.87
"Sep 27, 2016","1,734,250",3.84,3.85,3.86,"184,100,000",3.87
"Sep 26, 2016","2,148,250",3.80,3.86,3.80,"181,334,000",3.87
"Sep 25, 2016","1,540,650",3.78,3.81,3.80,"181,090,000",3.81
"Sep 24, 2016","2,118,420",3.80,3.81,3.81,"181,929,000",3.84
"Sep 23, 2016","1,572,350",3.76,3.81,3.77,"179,509,000",3.82
"Sep 22, 2016","1,445,220",3.77,3.77,3.86,"183,805,000",3.86
"Sep 21, 2016","3,853,090",3.76,3.84,3.87,"184,357,000",3.87
"Sep 20, 2016","2,263,260",3.82,3.84,3.83,"182,404,000",3.86
