Date,Close,High,Open,Market Cap,Volume,Low
"Aug 03, 2017",10.67,10.70,8.19,"409,434,000","49,848,800",8.06
"Aug 02, 2017",8.11,8.30,7.85,"392,732,000","17,559,000",7.71
"Aug 01, 2017",7.86,8.20,7.36,"368,123,000","18,527,900",6.96
"Jul 31, 2017",7.33,7.43,7.16,"358,222,000","10,856,600",7.02
"Jul 30, 2017",7.15,7.30,7.27,"363,345,000","9,006,030",6.94
"Jul 29, 2017",7.26,7.46,7.09,"354,258,000","10,518,400",6.76
"Jul 28, 2017",7.09,7.88,7.75,"387,410,000","15,725,800",6.93
"Jul 27, 2017",7.72,7.94,7.22,"360,772,000","15,251,100",7.13
"Jul 26, 2017",7.17,7.59,7.33,"366,562,000","16,765,600",6.58
"Jul 25, 2017",7.35,8.48,8.48,"423,876,000","19,480,400",6.88
"Jul 24, 2017",8.46,8.81,8.61,"430,471,000","21,283,700",8.19
"Jul 23, 2017",8.57,8.93,8.64,"431,881,000","29,915,100",7.76
"Jul 22, 2017",8.62,9.12,7.39,"369,727,000","32,890,800",7.31
"Jul 21, 2017",7.42,7.97,7.24,"361,826,000","21,298,000",7.03
"Jul 20, 2017",7.21,7.47,5.89,"294,317,000","25,476,100",5.89
"Jul 19, 2017",5.88,6.23,6.04,"301,935,000","14,255,500",5.65
"Jul 18, 2017",6.02,6.29,5.77,"288,470,000","18,101,700",5.51
"Jul 17, 2017",5.77,5.85,5.06,"253,054,000","15,013,000",5.03
"Jul 16, 2017",5.04,5.27,5.03,"251,399,000","9,498,420",4.83
"Jul 15, 2017",5.03,5.55,5.55,"277,400,000","11,294,200",4.98
"Jul 14, 2017",5.54,6.29,6.27,"313,433,000","12,351,000",5.42
"Jul 13, 2017",6.29,6.95,6.68,"334,240,000","17,824,000",5.91
"Jul 12, 2017",6.63,6.69,5.31,"265,564,000","23,337,300",5.07
"Jul 11, 2017",5.40,6.11,5.93,"296,309,000","20,182,900",4.83
"Jul 10, 2017",6.03,6.96,6.91,"345,719,000","11,395,300",5.58
"Jul 09, 2017",6.90,7.62,7.40,"370,072,000","10,422,500",6.87
"Jul 08, 2017",7.45,7.63,6.79,"339,382,000","24,138,500",5.91
"Jul 07, 2017",6.77,7.89,7.83,"391,569,000","16,409,500",6.74
"Jul 06, 2017",7.84,8.34,7.98,"399,093,000","17,932,500",7.69
"Jul 05, 2017",8.03,8.66,7.77,"388,453,000","29,368,100",7.23
