Date,Low,High,Close,Open,Market Cap,Volume
"May 22, 2017",2017.87,2303.90,2173.40,2043.19,"33,393,600,000","1,942,220,000"
"May 21, 2017",2037.50,2119.08,2041.20,2067.03,"33,779,400,000","1,147,860,000"
"May 20, 2017",1974.92,2084.73,2084.73,1984.24,"32,422,400,000","961,336,000"
"May 19, 2017",1890.25,2004.52,1987.71,1897.37,"30,999,000,000","1,157,290,000"
"May 18, 2017",1807.12,1904.48,1888.65,1818.70,"29,710,500,000","894,321,000"
"May 17, 2017",1661.91,1864.05,1839.09,1726.73,"28,204,800,000","1,064,730,000"
"May 16, 2017",1686.54,1785.94,1734.45,1741.70,"28,446,300,000","959,045,000"
"May 15, 2017",1708.54,1812.80,1738.43,1808.44,"29,532,600,000","731,529,000"
"May 14, 2017",1776.62,1831.42,1808.91,1800.86,"29,405,100,000","437,196,000"
"May 13, 2017",1651.08,1812.99,1804.91,1723.12,"28,132,300,000","579,635,000"
"May 12, 2017",1694.01,1856.15,1724.24,1845.76,"30,131,100,000","740,984,000"
"May 11, 2017",1755.35,1873.93,1848.57,1780.37,"29,060,600,000","799,490,000"
"May 10, 2017",1719.10,1788.44,1787.13,1756.52,"28,668,100,000","915,723,000"
"May 09, 2017",1716.30,1833.49,1755.36,1723.89,"28,132,200,000","1,167,920,000"
"May 08, 2017",1596.92,1723.35,1723.35,1596.92,"26,056,500,000","1,340,320,000"
"May 07, 2017",1559.76,1596.72,1596.71,1579.47,"25,768,500,000","1,080,030,000"
"May 06, 2017",1542.50,1578.80,1578.80,1556.81,"25,395,600,000","582,530,000"
"May 05, 2017",1530.31,1618.03,1555.45,1540.87,"25,133,100,000","946,036,000"
"May 04, 2017",1490.72,1608.91,1537.67,1490.72,"24,311,900,000","933,549,000"
"May 03, 2017",1447.49,1492.77,1490.09,1453.78,"23,707,100,000","583,796,000"
"May 02, 2017",1415.69,1473.90,1452.82,1421.03,"23,170,200,000","477,338,000"
"May 01, 2017",1348.30,1434.32,1421.60,1348.30,"21,981,800,000","713,624,000"
"Apr 30, 2017",1314.92,1347.91,1347.89,1321.87,"21,548,400,000","413,115,000"
"Apr 29, 2017",1315.21,1327.20,1321.79,1317.84,"21,479,800,000","422,706,000"
"Apr 28, 2017",1292.37,1331.28,1316.48,1317.74,"21,476,000,000","527,489,000"
"Apr 27, 2017",1281.30,1319.70,1317.73,1281.88,"20,889,200,000","449,197,000"
"Apr 26, 2017",1265.93,1294.83,1281.08,1265.99,"20,627,900,000","329,631,000"
"Apr 25, 2017",1249.97,1267.58,1265.49,1250.45,"20,372,300,000","242,556,000"
"Apr 24, 2017",1209.63,1250.94,1250.15,1209.63,"19,705,400,000","235,806,000"
"Apr 23, 2017",1203.94,1232.20,1207.21,1231.92,"20,066,200,000","258,951,000"
"Apr 22, 2017",1208.47,1235.56,1231.71,1222.71,"19,913,900,000","249,320,000"
"Apr 21, 2017",1215.56,1235.94,1222.05,1229.42,"20,020,700,000","272,167,000"
"Apr 20, 2017",1208.41,1240.79,1229.08,1211.08,"19,719,900,000","315,108,000"
"Apr 19, 2017",1205.08,1215.51,1210.29,1212.13,"19,734,800,000","288,061,000"
"Apr 18, 2017",1193.77,1217.57,1211.67,1193.77,"19,433,800,000","270,524,000"
"Apr 17, 2017",1172.65,1194.90,1193.91,1183.25,"19,260,500,000","253,206,000"
"Apr 16, 2017",1172.61,1187.22,1182.94,1172.61,"19,085,100,000","183,231,000"
"Apr 15, 2017",1164.96,1188.00,1172.52,1167.30,"18,996,500,000","203,559,000"
"Apr 14, 2017",1159.79,1190.80,1167.54,1170.33,"19,043,800,000","254,827,000"
"Apr 13, 2017",1156.44,1205.89,1169.28,1201.02,"19,541,300,000","351,969,000"
"Apr 12, 2017",1196.76,1207.14,1200.37,1204.81,"19,600,800,000","288,702,000"
"Apr 11, 2017",1187.46,1208.07,1205.01,1187.46,"19,316,000,000","216,182,000"
"Apr 10, 2017",1179.04,1190.34,1187.13,1187.30,"19,311,200,000","215,883,000"
"Apr 09, 2017",1171.86,1197.21,1187.87,1176.57,"19,134,400,000","242,343,000"
"Apr 08, 2017",1162.58,1184.98,1175.95,1172.65,"19,068,600,000","209,312,000"
"Apr 07, 2017",1163.39,1186.58,1176.90,1178.94,"19,168,500,000","317,022,000"
"Apr 06, 2017",1125.81,1188.37,1182.68,1125.81,"18,302,600,000","511,222,000"
"Apr 05, 2017",1113.63,1135.09,1124.78,1134.14,"18,435,700,000","414,784,000"
"Apr 04, 2017",1120.52,1156.44,1133.25,1145.52,"18,619,000,000","436,310,000"
"Apr 03, 2017",1102.95,1151.74,1143.81,1102.95,"17,924,600,000","580,444,000"
"Apr 02, 2017",1075.45,1107.59,1102.17,1080.61,"17,559,400,000","514,187,000"
"Apr 01, 2017",1061.09,1091.72,1080.50,1071.71,"17,413,000,000","289,634,000"
"Mar 31, 2017",1026.64,1074.92,1071.79,1026.64,"16,679,000,000","447,287,000"
"Mar 30, 2017",1020.04,1049.29,1026.43,1042.21,"16,929,800,000","352,969,000"
"Mar 29, 2017",1015.88,1055.13,1039.97,1046.08,"16,990,900,000","298,458,000"
"Mar 28, 2017",1027.73,1064.65,1047.15,1044.58,"16,964,500,000","326,332,000"
"Mar 27, 2017",971.98,1046.40,1045.77,972.05,"15,785,000,000","372,535,000"
